,Alias,Center Name,Accession,Title
515,DRR171820,TITECH,DRR171820,SAMD00114844
516,DRR171968,TITECH,DRR171968,SAMD00115037
517,DRR172014,TITECH,DRR172014,SAMD00115083
518,DRR171915,TITECH,DRR171915,SAMD00114963
519,DRR171927,TITECH,DRR171927,SAMD00114981
520,DRR171498,TITECH,DRR171498,SAMD00164804
521,DRR171732,TITECH,DRR171732,SAMD00114729
522,DRR171531,TITECH,DRR171531,SAMD00164841
523,DRR171641,TITECH,DRR171641,SAMD00164951
524,DRR171762,TITECH,DRR171762,SAMD00114769
525,DRR171779,TITECH,DRR171779,SAMD00114791
526,DRR171475,TITECH,DRR171475,SAMD00164750
527,DRR171463,TITECH,DRR171463,SAMD00164713
528,DRR171993,TITECH,DRR171993,SAMD00115062
529,DRR171694,TITECH,DRR171694,SAMD00165004
530,DRR171649,TITECH,DRR171649,SAMD00164959
531,DRR171840,TITECH,DRR171840,SAMD00114869
532,DRR171723,TITECH,DRR171723,SAMD00165033
533,DRR171994,TITECH,DRR171994,SAMD00115063
534,DRR171780,TITECH,DRR171780,SAMD00114793
535,DRR171919,TITECH,DRR171919,SAMD00114971
536,DRR171571,TITECH,DRR171571,SAMD00164881
537,DRR171999,TITECH,DRR171999,SAMD00115068
538,DRR171577,TITECH,DRR171577,SAMD00164887
539,DRR172012,TITECH,DRR172012,SAMD00115081
540,DRR171533,TITECH,DRR171533,SAMD00164843
541,DRR171931,TITECH,DRR171931,SAMD00114987
542,DRR171829,TITECH,DRR171829,SAMD00114854
543,DRR171715,TITECH,DRR171715,SAMD00165025
544,DRR171781,TITECH,DRR171781,SAMD00114794
545,DRR171836,TITECH,DRR171836,SAMD00114864
546,DRR171880,TITECH,DRR171880,SAMD00114919
547,DRR171462,TITECH,DRR171462,SAMD00164708
548,DRR171703,TITECH,DRR171703,SAMD00165013
549,DRR171847,TITECH,DRR171847,SAMD00114878
550,DRR171624,TITECH,DRR171624,SAMD00164934
551,DRR171913,TITECH,DRR171913,SAMD00114961
552,DRR171698,TITECH,DRR171698,SAMD00165008
553,DRR171837,TITECH,DRR171837,SAMD00114866
554,DRR171799,TITECH,DRR171799,SAMD00114816
555,DRR171760,TITECH,DRR171760,SAMD00114766
556,DRR171589,TITECH,DRR171589,SAMD00164899
557,DRR171543,TITECH,DRR171543,SAMD00164853
558,DRR171487,TITECH,DRR171487,SAMD00164773
559,DRR171784,TITECH,DRR171784,SAMD00114797
560,DRR171646,TITECH,DRR171646,SAMD00164956
561,DRR171996,TITECH,DRR171996,SAMD00115065
562,DRR171738,TITECH,DRR171738,SAMD00114738
563,DRR171754,TITECH,DRR171754,SAMD00114756
564,DRR171851,TITECH,DRR171851,SAMD00114883
